LOB-RiskID,Program,Tranche,FileName,Program ID,Allocation method,Spend USD 2020,Spend USD 2021,Spend USD 2022,Spend USD 2023,Spend USD 2024,Spend USD 2025,Spend USD 2026
EHS-EMPSI,M1B-Enterprise Safety Management System (ESMS) Implementation,Field Employees - Generation,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M01B,% of Total Cost (specify to the right),0.01953365596128465,0.01953365596128465,0.01953365596128465,0.01953365596128465,0.01953365596128465,0.01953365596128465,0.01953365596128465
EHS-EMPSI,M1B-Enterprise Safety Management System (ESMS) Implementation,Field Employees - Other,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M01B,% of Total Cost (specify to the right),0.07404311482622085,0.07404311482622085,0.07404311482622085,0.07404311482622085,0.07404311482622085,0.07404311482622085,0.07404311482622085
EHS-EMPSI,M6a-Office Ergonomics Program (2020 - 2022),,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M06a,prorate by Program exposure,,,,,,,
EHS-EMPSI,M6a-Office Ergonomics Program (2023 - 2026),,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M06a,prorate by Program exposure,,,,,,,
EHS-EMPSI,M6b-Industrial Ergonomics Program (2020 - 2022),,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M06b,prorate by Program exposure,,,,,,,
EHS-EMPSI,M6b-Industrial Ergonomics Program (2023 - 2026),,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M06b,prorate by Program exposure,,,,,,,
EHS-EMPSI,M6c-Industrial Athlete Program (2020 - 2022),,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M06c,prorate by Program exposure,,,,,,,
EHS-EMPSI,M6c-Industrial Athlete Program (2023 - 2026),,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M06c,prorate by Program exposure,,,,,,,
EHS-EMPSI,M6d-Vehicle Ergonomics Program (2020 - 2022),,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M06d,prorate by Program exposure,,,,,,,
EHS-EMPSI,M6d-Vehicle Ergonomics Program (2023 - 2026),,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M06d,prorate by Program exposure,,,,,,,
EHS-EMPSI,M11-On-Site Clinics,,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M011,prorate by Program exposure,,,,,,,
EHS-EMPSI,M13-Enhancing SafetyNet Use,Office Employees,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M013,% of Total Cost (specify to the right),0.9998848456932289,0.9998848456932289,,,,,
EHS-EMPSI,M14-Industrial Hygiene (IH) Program Compliance Improvements Phase 1,,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M014,prorate by Program exposure,,,,,,,
EHS-EMPSI,M16-Fit4U Program,,EHS-EMPSI-3_RSE Input File.xlsm,EMPSI-M016,prorate by Program exposure,,,,,,,
EHS-MTRSI,Transportation Safety Program,,EHS-MTRSI-3_RSE Input File.xlsm,MTRSI-PRGA,prorate by Program exposure,   ,,,,,,
EHS-MTRSI,Update VST Installation and Activation,,EHS-MTRSI-3_RSE Input File.xlsm,MTRSI-M02B,prorate by Program exposure,,,,,,,
EHS-MTRSI,Post Incident Review,,EHS-MTRSI-3_RSE Input File.xlsm,MTRSI-M014,prorate by Program exposure,,,,,,,
EHS-MTRSI,360 Walk Around App,,EHS-MTRSI-3_RSE Input File.xlsm,MTRSI-M015,prorate by Program exposure,,,,,,,
EHS-MTRSI,Safe Backing Training TECH-9161,,EHS-MTRSI-3_RSE Input File.xlsm,MTRSI-M018,prorate by Program exposure,,,,,,,
EHS-MTRSI,Cell Phone Activity Blocking,,EHS-MTRSI-3_RSE Input File.xlsm,MTRSI-M019,prorate by Program exposure,,,,,,,
EHS-TPTSI,M4-Canals and Waterways Safety Barriers,,EHS-TPTSI-3_RSE Input File.xlsm,TPTSI-M004,prorate by Program exposure,,,,,,,
EHS-TPTSI,System Hardening [Overhead],,EHS-TPTSI-3_RSE Input File.xlsm,DOVHD-M002,prorate by Program exposure,,,,,,,
EHS-TPTSI,System Hardening [Underground],,EHS-TPTSI-3_RSE Input File.xlsm,DOVHD-M002UG,prorate by Program exposure,,,,,,,
EHS-TPTSI,3A and 4C Line Recloser Replacement [3A],,EHS-TPTSI-3_RSE Input File.xlsm,DOVHD-M010,prorate by Program exposure,,,,,,,
EHS-TPTSI,3A and 4C Line Recloser Replacement [4C],,EHS-TPTSI-3_RSE Input File.xlsm,DOVHD-M010,prorate by Program exposure,,,,,,,
EHS-TPTSI,"EO Public Awareness and Safety - Public Awareness and Job Site Safety (RAMP C1, C2, C3, C7)",,EHS-TPTSI-3_RSE Input File.xlsm,TPTSI-Program A,prorate by Program exposure,,,,,,,
EHS-TPTSI,"GO Public Awareness and Safety - Public Awareness and Job Site Safety (RAMP C1, C5, C7)",,EHS-TPTSI-3_RSE Input File.xlsm,TPTSI-Program B,prorate by Program exposure,,,,,,,
EHS-TPTSI,"Hydroelectric Public Safety - Public Awareness and Safety, Dam Surveillance Monitoring, Warning Systems and Signage, (RAMP controls C1, C7, C8, C9, and C15)",,EHS-TPTSI-3_RSE Input File.xlsm,TPTSI-Program C,prorate by Program exposure,,,,,,,
EHS-TPTSI,"EO Distribution and Transmission System Safety - EO T&D safety design requirements, and LED lighting (RAMP controls C9  , C10, C11, C12, and C13)",,EHS-TPTSI-3_RSE Input File.xlsm,TPTSI-Program D,prorate by Program exposure,,,,,,,
EHS-TPTSI,GO Physical Security - - GO Physical security controls including Meter Protection (RAMP controls C4 and C6),,EHS-TPTSI-3_RSE Input File.xlsm,TPTSI-Program E,prorate by Program exposure,,,,,,,
EO-DNTWK,Venting Manhole Cover Replacements,,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-M002,prorate by Program Exposure,,,,,,,
EO-DNTWK,Incremental Primary Network Cable Replacements,,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-M004,prorate by Program Exposure,,,,,,,
EO-DNTWK,Network Component Replacements - High-Rise Dry-Type Transformers [Transformer],,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-M005,prorate by Program Exposure,,,,,,,
EO-DNTWK,Network Component Replacements - High-Rise Dry-Type Transformers [Protector],,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-M005,prorate by Program Exposure,,,,,,,
EO-DNTWK,Network Component Replacements - Targeted Network Protector Replacement CMD-Type,,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-M006,prorate by Program Exposure,,,,,,,
EO-DNTWK,Network Cable Replacement,,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-C001,prorate by Program Exposure,,,,,,,
EO-DNTWK,"Network Component (Transformer, Protector) Replacements - Condition Based [Transformer]",,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-C003,prorate by Program Exposure,,,,,,,
EO-DNTWK,"Network Component (Transformer, Protector) Replacements - Condition Based [Protector]",,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-C003,prorate by Program Exposure,,,,,,,
EO-DNTWK,Maintenance and Corrective Work [Transformer Maintenance and Testing],,EO-DNTWK-3_RSE Input File.xlsm,DNTWK-C002[KCD],prorate by Program Exposure,,,,,,,
EO-DOVHD,Vegetation Management - Distribution Overhead,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C001,prorate by Program Exposure,,,,,,,
EO-DOVHD,Vegetation Management - CEMA/Tree Mortality,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C002,prorate by Program Exposure,,,,,,,
EO-DOVHD,Overhead Conductor Replacement,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C004,prorate by Program Exposure,,,,,,,
EO-DOVHD,Inspections - Distribution Overhead,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C005,prorate by Program Exposure,,,,,,,
EO-DOVHD,Infrared Inspections - Distribution Overhead,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C006,prorate by Program Exposure,,,,,,,
EO-DOVHD,Pole Replacement,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C011[07D],prorate by Program Exposure,,,,,,,
EO-DOVHD,Targeted Reliability Program,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C012,prorate by Program Exposure,,,,,,,
EO-DOVHD,Additional System Automation and Protection - FuseSaver,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C014,prorate by Program Exposure,,,,,,,
EO-DOVHD,Equipment Maintenance and Replacement – Distribution Overhead,,EO-DOVHD-3_RSE Input File.xlsm,"DOVHD-C003[2AA, KAA]",prorate by Program Exposure,,,,,,,
EO-DOVHD,OH Fuses Install/Replace,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C003[49C],prorate by Program Exposure,,,,,,,
EO-DOVHD,Overloaded Transformers Replacement,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C09A,prorate by Program Exposure,,,,,,,
EO-DOVHD,Overloaded Pole Replacements,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C011[07O],prorate by Program Exposure,,,,,,,
EO-DOVHD,Pole Restoration Program,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C011[GAD],prorate by Program Exposure,,,,,,,
EO-DOVHD,Enhanced Vegetation Management,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M001,prorate by Program Exposure,,,,,,,
EO-DOVHD,System Hardening [Overhead],,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M002,prorate by Program Exposure,,,,,,,
EO-DOVHD,System Hardening [Underground],,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M002UG,prorate by Program Exposure,,,,,,,
EO-DOVHD,Non-Exempt Surge Arrester Replacement,Corrosive Regions with Specific Material (ACSR),EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M003,% of Total Cost (specify to the right),0,0.0,0.03799876466954909,0.05551544903263066,0.05551544903263067,0.05551544903263066,0.05551544903263066
EO-DOVHD,Non-Exempt Surge Arrester Replacement,HFTD,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M003,% of Total Cost (specify to the right),1,1.0,0.3155281037677579,0.0,0.0,0.0,0.0
EO-DOVHD,Non-Exempt Surge Arrester Replacement,Poor Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M003,% of Total Cost (specify to the right),0,0.0,0.2004323656578134,0.2928277505053421,0.2928277505053422,0.2928277505053422,0.2928277505053422
EO-DOVHD,Non-Exempt Surge Arrester Replacement,Elevated Wire-downs (Small Copper Conductors),EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M003,% of Total Cost (specify to the right),0,0.0,0.2375911056207535,0.3471159399364713,0.3471159399364713,0.3471159399364713,0.3471159399364713
EO-DOVHD,Non-Exempt Surge Arrester Replacement,Moderate Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M003,% of Total Cost (specify to the right),0,0.0,0.15775169857937,0.2304721339878718,0.2304721339878719,0.2304721339878719,0.2304721339878719
EO-DOVHD,Non-Exempt Surge Arrester Replacement,High Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M003,% of Total Cost (specify to the right),0,0.0,0.050697961704756,0.07406872653768407,0.0740687265376841,0.07406872653768408,0.07406872653768408
EO-DOVHD,Expulsion Fuse Replacement,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M004,prorate by Program Exposure,,,,,,,
EO-DOVHD,Grasshopper and KPF Switch Replacement,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M006,prorate by Program Exposure,,,,,,,
EO-DOVHD,Regulated Output Streetlight Replacement,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M007,prorate by Program Exposure,,,,,,,
EO-DOVHD,Ceramic Post-Insulator Replacement,Elevated Wire-downs (Small Copper Conductors),EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M008,% of Total Cost (specify to the right),0,0.1717799940871601,0.2304740528897497,0.2304740528897497,0.2304740528897496,0.2304740528897497,0.2304740528897496
EO-DOVHD,Ceramic Post-Insulator Replacement,Corrosive Regions with Specific Material (ACSR),EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M008,% of Total Cost (specify to the right),0,0.2587155380985996,0.3471138704364038,0.3471138704364038,0.3471138704364038,0.3471138704364038,0.3471138704364038
EO-DOVHD,Ceramic Post-Insulator Replacement,Poor Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M008,% of Total Cost (specify to the right),0,0.2182562431745917,0.2928303799301319,0.2928303799301319,0.2928303799301319,0.292830379930132,0.2928303799301319
EO-DOVHD,Ceramic Post-Insulator Replacement,Moderate Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M008,% of Total Cost (specify to the right),0,0.05520487990298116,0.07406737017394609,0.0740673701739461,0.07406737017394609,0.0740673701739461,0.0740673701739461
EO-DOVHD,Ceramic Post-Insulator Replacement,High Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M008,% of Total Cost (specify to the right),1,0.2546666666666667,0.0,0.0,0.0,0.0,0.0
EO-DOVHD,Ceramic Post-Insulator Replacement,HFTD,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M008,% of Total Cost (specify to the right),0,0.04137667807000078,0.05551432656976849,0.05551432656976849,0.05551432656976849,0.05551432656976849,0.0555143265697685
EO-DOVHD,3A and 4C Line Recloser Replacement [3A],Elevated Wire-downs (Small Copper Conductors),EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[3A Reclosers],% of Total Cost (specify to the right),0,0.0,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.3846153846153846,0.3846153846153846
EO-DOVHD,3A and 4C Line Recloser Replacement [3A],Corrosive Regions with Specific Material (ACSR),EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[3A Reclosers],% of Total Cost (specify to the right),0,0.0,0.0,0.0,0.0,0.0,0.0
EO-DOVHD,3A and 4C Line Recloser Replacement [3A],Poor Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[3A Reclosers],% of Total Cost (specify to the right),0,0.0,0.1538461538461539,0.1538461538461539,0.1538461538461539,0.1538461538461539,0.1538461538461539
EO-DOVHD,3A and 4C Line Recloser Replacement [3A],Moderate Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[3A Reclosers],% of Total Cost (specify to the right),0,0.0,0.1538461538461539,0.1538461538461539,0.1538461538461539,0.1538461538461539,0.1538461538461539
EO-DOVHD,3A and 4C Line Recloser Replacement [3A],High Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[3A Reclosers],% of Total Cost (specify to the right),0,0.0,0.1538461538461539,0.1538461538461539,0.1538461538461539,0.1538461538461539,0.1538461538461539
EO-DOVHD,3A and 4C Line Recloser Replacement [3A],HFTD,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[3A Reclosers],% of Total Cost (specify to the right),0,0.0,0.1538461538461539,0.1538461538461539,0.1538461538461539,0.1538461538461539,0.1538461538461539
EO-DOVHD,3A and 4C Line Recloser Replacement [4C],Elevated Wire-downs (Small Copper Conductors),EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[4C Reclosers],% of Total Cost (specify to the right),0,0.1529411764705882,0.1851851851851852,0.1836734693877551,0.1764705882352941,0.1851851851851852,0.1964285714285714
EO-DOVHD,3A and 4C Line Recloser Replacement [4C],Corrosive Regions with Specific Material (ACSR),EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[4C Reclosers],% of Total Cost (specify to the right),0,0.01176470588235294,0.0,0.0,0.0,0.0,0.0
EO-DOVHD,3A and 4C Line Recloser Replacement [4C],Poor Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[4C Reclosers],% of Total Cost (specify to the right),0,0.1529411764705882,0.1481481481481481,0.1428571428571428,0.1568627450980392,0.1481481481481481,0.1428571428571428
EO-DOVHD,3A and 4C Line Recloser Replacement [4C],Moderate Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[4C Reclosers],% of Total Cost (specify to the right),0,0.1647058823529412,0.1666666666666667,0.163265306122449,0.1568627450980392,0.1666666666666667,0.1607142857142857
EO-DOVHD,3A and 4C Line Recloser Replacement [4C],High Reliability Performance,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[4C Reclosers],% of Total Cost (specify to the right),0,0.04705882352941176,0.03703703703703703,0.04081632653061224,0.0392156862745098,0.03703703703703703,0.03571428571428571
EO-DOVHD,3A and 4C Line Recloser Replacement [4C],HFTD,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M010[4C Reclosers],% of Total Cost (specify to the right),0,0.4705882352941176,0.462962962962963,0.4693877551020408,0.4705882352941176,0.462962962962963,0.4642857142857143
EO-DOVHD,System Hardening [Remote Grid],,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-M011,prorate by Program Exposure,,,,,,,
EO-DOVHD,Patrols - Distribution Overhead,,EO-DOVHD-3_RSE Input File.xlsm,DOVHD-C013,prorate by Program Exposure,,,,,,,
EO-DOVHD,Animal Abatement,,EO-DOVHD-3_RSE Input File.xlsm,"DOVHD-C003[2AB, KAC]",prorate by Program Exposure,,,,,,,
EO-DUNGD,UG Patrols,,EO-DUNGD-3_RSE Input File.xlsm,DUNGD-C001[BFD],prorate by Program Exposure,,,,,,,
EO-DUNGD,UG Inspections,,EO-DUNGD-3_RSE Input File.xlsm,DUNGD-C001[BFE],prorate by Program Exposure,,,,,,,
EO-DUNGD,Underground Notifications,,EO-DUNGD-3_RSE Input File.xlsm,DUNGD-C002,prorate by Program Exposure,,,,,,,
EO-DUNGD,Equipment Maintenance and Replacement - UG General Replacements,,EO-DUNGD-3_RSE Input File.xlsm,DUNGD-C003[2BA],prorate by Program Exposure,,,,,,,
EO-DUNGD,Primary Cable Replacement Program,,EO-DUNGD-3_RSE Input File.xlsm,DUNGD-C06A,prorate by Program Exposure,,,,,,,
EO-DUNGD,LBOR Switch Replacement,,EO-DUNGD-3_RSE Input File.xlsm,DUNGD-C007,prorate by Program Exposure,,,,,,,
EO-DUNGD,UG Transformers Temperature Sensor,,EO-DUNGD-3_RSE Input File.xlsm,DUNGD-C008,prorate by Program Exposure,,,,,,,
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),HFTD - Non-critical Substation - Circuit Breakers and Switchgear,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.04901960784313726,0.04901960784313726,0.04901960784313725,0.04901960784313725,0.04901960784313725
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),HFTD - Non-critical Substation - Disconnect Switches & Motor Operated Air Switches,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),HFTD - Non-critical Substation - Other,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.02941176470588235,0.02941176470588236,0.02941176470588235,0.02941176470588235,0.02941176470588236
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),HFTD - Non-critical Substation - Relay,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.02941176470588235,0.02941176470588236,0.02941176470588235,0.02941176470588235,0.02941176470588236
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),HFTD - Non-critical Substation - Transformers and Voltage Regulators,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Critical Substation - Circuit Breakers and Switchgear,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.009803921568627449,0.00980392156862745
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Critical Substation - Disconnect Switches & Motor Operated Air Switches,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.009803921568627449,0.00980392156862745
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Critical Substation - Other,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.009803921568627449,0.00980392156862745
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Non-critical Substation - Bus Systems,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Non-critical Substation - Circuit Breakers and Switchgear,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.2647058823529412,0.2647058823529412,0.2647058823529412,0.2647058823529411,0.2647058823529412
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Non-critical Substation - Disconnect Switches & Motor Operated Air Switches,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.107843137254902,0.107843137254902,0.107843137254902,0.107843137254902,0.107843137254902
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Non-critical Substation - Grounding Systems,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.00980392156862745,0.00980392156862745,0.00980392156862745,0.009803921568627449,0.00980392156862745
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Non-critical Substation - Other,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.1470588235294118,0.1470588235294118,0.1470588235294118,0.1470588235294118,0.1470588235294118
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Non-critical Substation - Relay,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.1862745098039216,0.1862745098039216,0.1862745098039216,0.1862745098039215,0.1862745098039216
EO-SBSTN,SBSTN-C017[GC1]_Proactive Maintenance (Other_1),non-HFTD - Non-critical Substation - Transformers and Voltage Regulators,EO-SBSTN-3_RSE Input File.xlsm,SBSTN-C017[GC1],% of Total Cost (specify to the right),,,0.08823529411764708,0.08823529411764708,0.08823529411764708,0.08823529411764706,0.08823529411764708
