WorkOrderID,AssetID,AssetType,Region,Latitude,Longitude,Status,Priority,RiskScore,CreatedDate,DueDate,DaysOverdue,AssignedCrewID,Commodity,CPZoneID,HCA_Flag,RiskScore_Rubric,Priority_Rubric,OutageRequired,OutageType,OutageZoneID,ExpectedOutageMinutes,CustomersAffectedEst,CanShareWindow,Description
WO200045,A100275,Regulator,East Bay,37.99552,-121.84952,Closed,Critical,10,2025-07-18,2025-09-10,0,C104,Electric,,,,,Y,Electric,EastBay_1,68.0,64.0,Y,"Work on Regulator (Asset A100275) in East Bay, priority Critical, risk score 10."
WO200046,A100142,Pole,San Francisco,37.78787,-122.41221,Open,Critical,10,2025-05-18,2025-06-01,67,,Electric,,,,,N,Electric,SanFrancisco_1,54.0,111.0,Y,"Work on Pole (Asset A100142) in San Francisco, priority Critical, risk score 10."
WO200047,A100256,Pole,San Francisco,37.7774,-122.44394,Open,High,8,2025-06-29,2025-08-27,0,,Electric,,,,,Y,Electric,SanFrancisco_1,49.0,103.0,N,"Work on Pole (Asset A100256) in San Francisco, priority High, risk score 8."
WO200048,A100131,Substation Equipment,Central Valley,36.62303,-121.36209,Open,Critical,9,2025-05-26,2025-07-07,31,,Electric,,,,,N,Electric,CentralValley_1,187.0,4993.0,Y,"Work on Substation Equipment (Asset A100131) in Central Valley, priority Critical, risk score 9."
WO200049,A100143,Substation Equipment,San Francisco,37.70859,-122.3716,In Progress,Critical,10,2025-05-30,2025-06-15,53,C108,Electric,,,,,N,Electric,SanFrancisco_1,174.0,5011.0,Y,"Work on Substation Equipment (Asset A100143) in San Francisco, priority Critical, risk score 10."
WO200050,A100101,Substation Equipment,Sierra,38.99541,-120.81041,In Progress,Medium,5,2025-05-26,2025-06-12,56,C101,Electric,,,,,Y,Electric,Sierra_1,176.0,4995.0,Y,"Work on Substation Equipment (Asset A100101) in Sierra, priority Medium, risk score 5."
WO200051,A100114,Transformer,Central Valley,37.16294,-120.67974,Assigned,Medium,4,2025-07-08,2025-09-06,0,C119,Electric,,,,,N,Electric,CentralValley_1,76.0,183.0,Y,"Work on Transformer (Asset A100114) in Central Valley, priority Medium, risk score 4."
WO200052,A100046,Transformer,Sierra,39.04887,-120.10105,Assigned,Critical,10,2025-05-26,2025-07-14,24,C115,Electric,,,,,N,Electric,Sierra_1,87.0,216.0,N,"Work on Transformer (Asset A100046) in Sierra, priority Critical, risk score 10."
WO200053,A100107,Transformer,Sierra,39.37804,-120.99046,Assigned,High,8,2025-06-11,2025-07-15,23,C103,Electric,,,,,N,Electric,Sierra_1,82.0,200.0,Y,"Work on Transformer (Asset A100107) in Sierra, priority High, risk score 8."
WO200054,A100025,Substation Equipment,East Bay,37.66463,-122.17183,Assigned,High,8,2025-07-05,2025-08-21,0,C101,Electric,,,,,N,Electric,EastBay_1,166.0,4993.0,N,"Work on Substation Equipment (Asset A100025) in East Bay, priority High, risk score 8."
WO200055,A100240,Pole,Peninsula,37.60396,-122.11722,Open,Critical,9,2025-07-26,2025-09-10,0,,Electric,,,,,N,Electric,Peninsula_1,64.0,110.0,Y,"Work on Pole (Asset A100240) in Peninsula, priority Critical, risk score 9."
WO200056,A100075,Substation Equipment,East Bay,37.81366,-122.21191,Closed,Critical,10,2025-04-25,2025-05-23,0,C104,Electric,,,,,N,Electric,EastBay_1,165.0,4997.0,N,"Work on Substation Equipment (Asset A100075) in East Bay, priority Critical, risk score 10."
WO200057,A100125,Transformer,San Francisco,37.7755,-122.4485,Assigned,High,6,2025-05-24,2025-06-30,38,C105,Electric,,,,,Y,Electric,SanFrancisco_1,105.0,186.0,Y,"Work on Transformer (Asset A100125) in San Francisco, priority High, risk score 6."
WO200058,A100253,Substation Equipment,Central Valley,37.66491,-120.9622,In Progress,Critical,10,2025-07-24,2025-08-13,0,C105,Electric,,,,,Y,Electric,CentralValley_1,169.0,4989.0,Y,"Work on Substation Equipment (Asset A100253) in Central Valley, priority Critical, risk score 10."
WO200059,A100157,Transformer,South Bay,37.17904,-122.09897,Closed,High,7,2025-06-15,2025-06-28,0,C112,Electric,,,,,Y,Electric,SouthBay_1,83.0,186.0,N,"Work on Transformer (Asset A100157) in South Bay, priority High, risk score 7."
WO200060,A100045,Pole,East Bay,37.73135,-121.73737,Closed,Critical,9,2025-06-15,2025-07-22,0,C118,Electric,,,,,Y,Electric,EastBay_1,61.0,112.0,Y,"Work on Pole (Asset A100045) in East Bay, priority Critical, risk score 9."
WO200061,A100147,Substation Equipment,Peninsula,37.43101,-122.11514,Assigned,Critical,10,2025-04-21,2025-05-11,88,C111,Electric,,,,,Y,Electric,Peninsula_1,173.0,5002.0,N,"Work on Substation Equipment (Asset A100147) in Peninsula, priority Critical, risk score 10."
WO200062,A100285,Pole,Peninsula,37.63639,-122.21135,In Progress,Critical,10,2025-06-04,2025-06-27,41,C110,Electric,,,,,Y,Electric,Peninsula_1,55.0,100.0,Y,"Work on Pole (Asset A100285) in Peninsula, priority Critical, risk score 10."
WO200063,A100244,Regulator,Peninsula,37.52388,-122.45053,Closed,Medium,5,2025-06-21,2025-07-20,0,C113,Electric,,,,,N,Electric,Peninsula_1,59.0,48.0,Y,"Work on Regulator (Asset A100244) in Peninsula, priority Medium, risk score 5."
WO200064,A100237,Gas Valve,Peninsula,37.36437,-122.2362,Deferred,Critical,10,2025-06-16,2025-07-25,13,,Gas,,,,,N,Gas,Peninsula_1,68.0,98.0,Y,"Work on Gas Valve (Asset A100237) in Peninsula, priority Critical, risk score 10."
WO200065,A100156,Regulator,North Bay,38.52998,-122.98112,Deferred,Critical,10,2025-05-25,2025-06-23,45,,Electric,,,,,Y,Electric,NorthBay_1,50.0,65.0,N,"Work on Regulator (Asset A100156) in North Bay, priority Critical, risk score 10."
WO200066,A100176,Substation Equipment,East Bay,37.55732,-121.9212,Closed,Critical,9,2025-05-06,2025-06-13,0,C111,Electric,,,,,N,Electric,EastBay_1,187.0,5008.0,Y,"Work on Substation Equipment (Asset A100176) in East Bay, priority Critical, risk score 9."
WO200067,A100034,Transformer,North Bay,38.08495,-122.75966,In Progress,High,8,2025-07-04,2025-07-31,7,C105,Electric,,,,,Y,Electric,NorthBay_1,77.0,197.0,Y,"Work on Transformer (Asset A100034) in North Bay, priority High, risk score 8."
WO200068,A100144,Switchgear,Peninsula,37.38021,-122.38047,Open,Critical,10,2025-05-14,2025-06-30,38,,Electric,,,,,N,Electric,Peninsula_1,74.0,81.0,Y,"Work on Switchgear (Asset A100144) in Peninsula, priority Critical, risk score 10."
WO200069,A100164,Pole,South Bay,37.10196,-122.2995,Closed,High,6,2025-07-23,2025-08-24,0,C113,Electric,,,,,Y,Electric,SouthBay_1,75.0,80.0,Y,"Work on Pole (Asset A100164) in South Bay, priority High, risk score 6."
WO200070,A100199,Pole,Central Valley,36.96973,-120.95459,Open,Critical,10,2025-05-20,2025-07-02,36,,Electric,,,,,N,Electric,CentralValley_1,61.0,84.0,Y,"Work on Pole (Asset A100199) in Central Valley, priority Critical, risk score 10."
WO200071,A100172,Regulator,South Bay,37.13798,-121.73177,Open,Critical,10,2025-06-20,2025-07-03,35,,Electric,,,,,N,Electric,SouthBay_1,49.0,49.0,N,"Work on Regulator (Asset A100172) in South Bay, priority Critical, risk score 10."
WO200072,A100238,Transformer,North Bay,38.54107,-122.65644,Deferred,Critical,10,2025-07-04,2025-09-01,0,,Electric,,,,,Y,Electric,NorthBay_1,104.0,190.0,N,"Work on Transformer (Asset A100238) in North Bay, priority Critical, risk score 10."
WO200073,A100073,Transformer,Peninsula,37.41428,-122.34636,In Progress,Critical,10,2025-05-12,2025-07-07,31,C117,Electric,,,,,Y,Electric,Peninsula_1,102.0,181.0,N,"Work on Transformer (Asset A100073) in Peninsula, priority Critical, risk score 10."
WO200074,A100072,Transformer,Central Valley,37.28946,-120.76635,Assigned,Critical,9,2025-05-20,2025-07-05,33,C105,Electric,,,,,N,Electric,CentralValley_1,86.0,182.0,N,"Work on Transformer (Asset A100072) in Central Valley, priority Critical, risk score 9."
WO200075,A100009,Feeder,North Bay,38.21626,-123.03296,In Progress,Critical,10,2025-05-09,2025-06-28,40,C120,Electric,,,,,N,Electric,NorthBay_1,122.0,1002.0,Y,"Work on Feeder (Asset A100009) in North Bay, priority Critical, risk score 10."
WO200076,A100194,Gas Valve,San Francisco,37.76994,-122.45511,Open,Critical,10,2025-05-02,2025-05-14,85,,Gas,,,,,N,Gas,SanFrancisco_1,58.0,91.0,N,"Work on Gas Valve (Asset A100194) in San Francisco, priority Critical, risk score 10."
WO200077,A100197,Transformer,South Bay,37.44668,-122.1028,Assigned,Critical,10,2025-05-04,2025-06-20,48,C106,Electric,,,,,N,Electric,SouthBay_1,95.0,199.0,Y,"Work on Transformer (Asset A100197) in South Bay, priority Critical, risk score 10."
WO200078,A100176,Substation Equipment,East Bay,37.8643,-121.8246,Open,Critical,10,2025-07-16,2025-09-03,0,,Electric,,,,,Y,Electric,EastBay_1,188.0,4984.0,Y,"Work on Substation Equipment (Asset A100176) in East Bay, priority Critical, risk score 10."
WO200079,A100015,Feeder,Peninsula,37.60203,-122.38557,Closed,Critical,10,2025-07-24,2025-08-26,0,C101,Electric,,,,,Y,Electric,Peninsula_1,115.0,1016.0,Y,"Work on Feeder (Asset A100015) in Peninsula, priority Critical, risk score 10."
WO200080,A100174,Transformer,San Francisco,37.72959,-122.48422,Open,Critical,10,2025-06-11,2025-08-09,0,,Electric,,,,,Y,Electric,SanFrancisco_1,83.0,217.0,Y,"Work on Transformer (Asset A100174) in San Francisco, priority Critical, risk score 10."
WO200081,A100138,Pole,San Francisco,37.79159,-122.3681,In Progress,High,7,2025-06-19,2025-07-31,7,C110,Electric,,,,,N,Electric,SanFrancisco_1,46.0,109.0,N,"Work on Pole (Asset A100138) in San Francisco, priority High, risk score 7."
WO200082,A100260,Feeder,Peninsula,37.47806,-122.19809,Open,Critical,10,2025-07-05,2025-08-07,0,,Electric,,,,,N,Electric,Peninsula_1,116.0,988.0,Y,"Work on Feeder (Asset A100260) in Peninsula, priority Critical, risk score 10."
WO200083,A100063,Pole,Peninsula,37.3792,-122.17209,In Progress,Medium,3,2025-07-26,2025-08-29,0,C119,Electric,,,,,Y,Electric,Peninsula_1,47.0,113.0,Y,"Work on Pole (Asset A100063) in Peninsula, priority Medium, risk score 3."
WO200084,A100137,Pole,South Bay,37.17529,-121.63571,In Progress,Critical,9,2025-07-22,2025-08-29,0,C102,Electric,,,,,Y,Electric,SouthBay_1,47.0,114.0,Y,"Work on Pole (Asset A100137) in South Bay, priority Critical, risk score 9."
WO200085,A100259,Pole,Central Valley,37.72561,-121.13905,Closed,Critical,10,2025-04-14,2025-04-28,0,C114,Electric,,,,,Y,Electric,CentralValley_1,45.0,101.0,N,"Work on Pole (Asset A100259) in Central Valley, priority Critical, risk score 10."
WO200086,A100115,Feeder,Central Valley,36.92904,-121.04188,Closed,Critical,10,2025-05-16,2025-07-06,0,C115,Electric,,,,,Y,Electric,CentralValley_1,112.0,1003.0,Y,"Work on Feeder (Asset A100115) in Central Valley, priority Critical, risk score 10."
WO200087,A100258,Substation Equipment,East Bay,37.82107,-121.61702,In Progress,Critical,10,2025-07-20,2025-07-27,11,C120,Electric,,,,,N,Electric,EastBay_1,186.0,4996.0,Y,"Work on Substation Equipment (Asset A100258) in East Bay, priority Critical, risk score 10."
WO200088,A100029,Transformer,East Bay,37.59895,-122.10412,Deferred,Critical,10,2025-05-14,2025-07-02,36,,Electric,,,,,N,Electric,EastBay_1,102.0,189.0,Y,"Work on Transformer (Asset A100029) in East Bay, priority Critical, risk score 10."
WO200089,A100122,Regulator,San Francisco,37.73006,-122.38828,Assigned,Critical,10,2025-05-29,2025-07-24,14,C104,Electric,,,,,N,Electric,SanFrancisco_1,73.0,59.0,N,"Work on Regulator (Asset A100122) in San Francisco, priority Critical, risk score 10."
WO200090,A100280,Pole,San Francisco,37.79279,-122.51945,Assigned,Critical,10,2025-07-18,2025-09-04,0,C105,Electric,,,,,Y,Electric,SanFrancisco_1,52.0,102.0,Y,"Work on Pole (Asset A100280) in San Francisco, priority Critical, risk score 10."
WO200091,A100042,Regulator,San Francisco,37.76475,-122.50909,Assigned,Critical,10,2025-05-09,2025-05-16,83,C101,Electric,,,,,Y,Electric,SanFrancisco_1,55.0,61.0,Y,"Work on Regulator (Asset A100042) in San Francisco, priority Critical, risk score 10."
WO200092,A100086,Regulator,Sierra,39.10112,-120.76469,Open,Critical,9,2025-05-02,2025-06-20,48,,Electric,,,,,N,Electric,Sierra_1,53.0,46.0,Y,"Work on Regulator (Asset A100086) in Sierra, priority Critical, risk score 9."
WO200093,A100016,Feeder,East Bay,37.62517,-122.12349,Open,Critical,10,2025-04-10,2025-04-22,107,,Electric,,,,,N,Electric,EastBay_1,109.0,996.0,Y,"Work on Feeder (Asset A100016) in East Bay, priority Critical, risk score 10."
WO200094,A100064,Pole,Peninsula,37.63905,-122.34335,Assigned,Medium,4,2025-07-13,2025-07-28,10,C109,Electric,,,,,N,Electric,Peninsula_1,58.0,93.0,Y,"Work on Pole (Asset A100064) in Peninsula, priority Medium, risk score 4."
WO200095,A100194,Gas Valve,San Francisco,37.79068,-122.42101,Open,Critical,10,2025-04-27,2025-06-09,59,,Gas,,,,,Y,Gas,SanFrancisco_1,72.0,88.0,Y,"Work on Gas Valve (Asset A100194) in San Francisco, priority Critical, risk score 10."
WO200096,A100231,Feeder,Peninsula,37.43088,-122.28599,Open,Critical,10,2025-04-26,2025-06-19,49,,Electric,,,,,Y,Electric,Peninsula_1,134.0,1019.0,N,"Work on Feeder (Asset A100231) in Peninsula, priority Critical, risk score 10."
WO200097,A100139,Regulator,North Bay,38.02696,-123.18414,Closed,High,7,2025-07-22,2025-08-21,0,C105,Electric,,,,,N,Electric,NorthBay_1,47.0,31.0,Y,"Work on Regulator (Asset A100139) in North Bay, priority High, risk score 7."
WO200098,A100213,Substation Equipment,Central Valley,37.66601,-121.33687,Open,Critical,10,2025-04-26,2025-06-20,48,,Electric,,,,,Y,Electric,CentralValley_1,185.0,5004.0,Y,"Work on Substation Equipment (Asset A100213) in Central Valley, priority Critical, risk score 10."
WO200099,A100109,Regulator,South Bay,37.05479,-122.29256,In Progress,Critical,10,2025-05-09,2025-06-20,48,C115,Electric,,,,,Y,Electric,SouthBay_1,49.0,68.0,N,"Work on Regulator (Asset A100109) in South Bay, priority Critical, risk score 10."
WO200100,A100037,Pole,San Francisco,37.80973,-122.38122,Closed,Low,1,2025-05-04,2025-05-27,0,C102,Electric,,,,,Y,Electric,SanFrancisco_1,49.0,88.0,Y,"Work on Pole (Asset A100037) in San Francisco, priority Low, risk score 1."
WO200101,A100030,Pole,North Bay,38.04987,-122.64972,Open,Critical,10,2025-04-28,2025-05-07,92,,Electric,,,,,Y,Electric,NorthBay_1,63.0,101.0,Y,"Work on Pole (Asset A100030) in North Bay, priority Critical, risk score 10."
WO200102,A100066,Transformer,San Francisco,37.76597,-122.40628,In Progress,Critical,9,2025-07-27,2025-09-13,0,C120,Electric,,,,,N,Electric,SanFrancisco_1,101.0,183.0,Y,"Work on Transformer (Asset A100066) in San Francisco, priority Critical, risk score 9."
WO200103,A100121,Pole,North Bay,38.52663,-123.06722,Assigned,Critical,10,2025-07-18,2025-08-18,0,C120,Electric,,,,,Y,Electric,NorthBay_1,58.0,105.0,Y,"Work on Pole (Asset A100121) in North Bay, priority Critical, risk score 10."
WO200104,A100211,Switchgear,Sierra,38.66893,-120.0664,Assigned,Critical,10,2025-07-07,2025-09-05,0,C102,Electric,,,,,N,Electric,Sierra_1,70.0,108.0,N,"Work on Switchgear (Asset A100211) in Sierra, priority Critical, risk score 10."
WO200105,A100137,Pole,South Bay,37.26971,-122.05089,Deferred,Critical,10,2025-06-18,2025-07-18,20,,Electric,,,,,N,Electric,SouthBay_1,74.0,113.0,Y,"Work on Pole (Asset A100137) in South Bay, priority Critical, risk score 10."
WO200106,A100189,Transformer,East Bay,37.6004,-121.72433,Assigned,Critical,10,2025-04-26,2025-05-31,68,C106,Electric,,,,,Y,Electric,EastBay_1,78.0,202.0,N,"Work on Transformer (Asset A100189) in East Bay, priority Critical, risk score 10."
