AssetID,AssetType,Commodity,System,InstallDate,AgeYears,ConditionScore,LastMaintenanceDate,InspectionDate,Region,Latitude,Longitude,DiameterInches,Material,CoatingType,SeamType,MAOP_psig,HCA_Flag,ClassLocation,SoilCorrosivityIndex,CPZoneID,CPStatus,LastCPSurveyDate,PipeToSoilPotential_mV,LastILI_Date,ILI_Anomalies_Count,LeakHistoryCount,CorrosionRiskScore_Rubric
A100010,Overhead Line,Electric,N/A,1990-12-14,34.7,3,1997-09-14,2025-05-03,San Francisco,37.66231782414344,-122.63086539063,,Steel,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100011,Switchgear,Electric,N/A,1959-03-16,66.4,2,1963-03-06,2024-12-15,South Bay,37.3802145204606,-121.96549760525777,,Steel,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100012,Test Station,Gas,Distribution,1995-10-15,29.8,4,1999-02-12,2024-08-02,South Bay,37.33100582880836,-121.86116470380574,3.6659735276960816,Steel,N/A,Seamless,98.87565023328617,N,1.0,3.0,CP542,Adequate,2025-04-04,-940.2912661117305,2022-05-13,5.0,0,6.0
A100013,Pipeline Casing,Gas,Distribution,2008-05-03,17.3,1,2015-05-10,2024-07-01,East Bay,37.756288471067435,-122.12585595028933,12.154390789460237,PE,Tape Wrap,N/A,112.71600025964989,N,2.0,4.0,CP342,Adequate,2025-05-14,-842.1423570661341,2021-07-12,0.0,0,8.0
A100014,Gas Distribution Main,Gas,Distribution,1969-10-12,55.8,5,1972-03-03,2025-05-23,North Bay,38.3293447347929,-122.66367871822588,18.236819943335288,Steel,None/Unknown,N/A,219.29944028657007,Y,3.0,3.0,CP951,Unknown,2024-10-24,-880.6060119791238,2023-01-01,0.0,0,9.0
A100015,Underground Cable,Electric,N/A,1990-02-23,35.5,2,1997-03-26,2025-06-10,Sierra,38.846591514889674,-120.64249386379656,,Aluminum,N/A,N/A,,N/A,,1.0,,N/A,,,,,0,
A100016,Test Station,Gas,Distribution,2012-06-07,13.2,5,2013-05-26,2024-03-30,Central Coast,36.52887275144586,-121.95712526026811,2.8169327874771746,Steel,Tape Wrap,N/A,60.0,N,1.0,4.0,CP680,Overprotected,2024-08-24,-893.3783857128652,2022-03-13,3.0,0,8.0
A100017,Gas Transmission Pipeline,Gas,Distribution,2006-06-23,19.1,3,2008-07-01,2024-10-17,North Bay,38.49186924723759,-122.50159294739073,3.019058808704406,PE,FBE,ERW,83.2744449634561,N,2.0,3.0,CP311,Underprotected,2025-06-06,-824.7994873728117,2022-07-08,4.0,0,8.0
A100018,Overhead Line,Electric,N/A,2019-09-15,5.9,1,2026-05-20,2023-12-21,Sierra,39.02201141583315,-120.51663481701023,,Wood,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100019,Regulator Station,Gas,Distribution,1955-11-17,69.7,3,1957-07-24,2024-10-29,San Francisco,37.72944529807142,-122.2505166958068,3.9173224620192286,Steel,Asphalt Enamel,SAW,110.50840227526902,Y,1.0,2.0,CP285,Adequate,2025-06-28,-832.9531601677115,2024-02-18,4.0,0,8.0
A100020,Switchgear,Electric,N/A,1994-09-07,30.9,3,1997-03-19,2024-09-01,San Francisco,37.92530887513665,-122.35342270865128,,Wood,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100021,Anode Bed,Gas,Distribution,1964-10-06,60.9,3,1970-03-15,2023-08-09,San Francisco,37.64328254104229,-122.46580542099093,2.1319195213504756,Steel,None/Unknown,Seamless,110.24022954756354,N,2.0,3.0,CP449,Underprotected,2025-02-06,-823.2776688097532,2022-08-11,4.0,0,10.0
A100022,Transformer,Electric,N/A,1968-06-06,57.2,1,1972-10-01,2024-03-06,East Bay,37.83856100898418,-122.38039300481768,,Composite,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100023,Transformer,Electric,N/A,1963-02-18,62.5,3,1967-08-19,2024-06-22,Central Coast,36.594889269526774,-121.90459476934923,,Aluminum,N/A,N/A,,N/A,,1.0,,N/A,,,,,0,
A100024,Regulator Station,Gas,Transmission,2016-03-31,9.4,3,2022-03-22,2024-09-02,East Bay,37.99341147346495,-122.09752488505342,24.16872570994869,Steel,FBE,ERW,262.2838667569987,Y,2.0,2.0,CP432,Unknown,2025-05-09,-914.0333458919733,2022-03-06,2.0,0,5.0
A100025,Switchgear,Electric,N/A,1971-11-29,53.7,2,1974-05-04,2023-08-16,North Bay,38.178411647439134,-122.67054188810718,,Composite,N/A,N/A,,N/A,,4.0,,N/A,,,,,0,
A100026,Launcher/Receiver,Gas,Distribution,1979-08-23,46.0,3,1980-10-31,2024-08-31,South Bay,37.481463959137805,-121.91013179280112,23.502301723250387,Steel,Coal Tar,ERW,118.40898983771379,N,1.0,5.0,CP653,Adequate,2024-09-17,-920.5922481231638,2021-06-09,0.0,0,9.0
A100027,Gas Distribution Main,Gas,Distribution,2011-06-02,14.2,4,2018-07-12,2023-12-24,Central Coast,36.584500294244194,-121.98810596756331,10.818603300824055,N/A,None/Unknown,ERW,125.67315737820003,N,1.0,3.0,CP175,Adequate,2025-06-02,-697.9508026563257,2023-07-08,7.0,0,8.0
A100028,Underground Cable,Electric,N/A,1986-09-16,38.9,4,1993-11-02,2025-03-01,East Bay,37.811736584199714,-122.26465438854048,,Steel,N/A,N/A,,N/A,,4.0,,N/A,,,,,0,
A100029,Launcher/Receiver,Gas,Distribution,1964-05-12,61.3,2,1966-04-04,2024-01-28,Central Coast,36.585707380189156,-122.11040576526305,16.366375713775724,Steel,Asphalt Enamel,ERW,82.73633439316531,N,1.0,5.0,CP599,Adequate,2025-02-01,-818.1376302575936,2021-11-22,4.0,0,10.0
A100030,Gas Distribution Main,Gas,Transmission,2005-01-26,20.5,4,2013-01-21,2024-08-22,Central Coast,36.591763828667425,-121.81708824993122,23.62517361402685,Steel,N/A,Seamless,275.8203227151766,N,2.0,2.0,CP306,Unknown,2025-05-20,-819.3574705572345,2022-04-05,2.0,0,6.0
A100031,Gas Transmission Pipeline,Gas,Transmission,1958-12-03,66.7,5,1965-06-24,2024-09-27,South Bay,37.23940938410108,-121.89518081467746,16.071795831452654,Steel,Tape Wrap,Seamless,238.58052644461802,N,3.0,4.0,CP911,Unknown,2025-04-13,-923.032710955435,2024-07-09,1.0,0,9.0
A100032,Switchgear,Electric,N/A,2005-08-03,20.0,2,2007-07-07,2024-12-21,North Bay,38.26115499714561,-122.64556753272251,,Steel,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100033,Transformer,Electric,N/A,1978-01-23,47.6,4,1982-05-11,2023-12-02,Sierra,39.10831646399142,-120.68294534952915,,Aluminum,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100034,Switchgear,Electric,N/A,1966-08-01,59.0,3,1972-08-17,2023-06-19,San Francisco,37.92817727194817,-122.23608532796487,,N/A,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100035,Pipeline Casing,Gas,Distribution,1983-02-26,42.5,5,1989-08-15,2024-03-27,Central Coast,36.676380760288666,-122.0031261228295,8.679246526502691,N/A,FBE,ERW,162.5610482158109,N,3.0,3.0,CP810,Unknown,2025-01-13,-970.449679560031,2020-11-06,4.0,0,5.0
A100036,CP Rectifier,Gas,Distribution,1986-12-21,38.6,2,1989-01-20,2024-02-29,North Bay,38.34644558338989,-122.63867706344726,8.083234858247458,Steel,Coal Tar,Seamless,92.90384871427345,Y,2.0,2.0,CP266,Adequate,2024-12-14,-892.0267726572895,2020-12-21,3.0,0,7.0
A100037,Launcher/Receiver,Gas,Transmission,1966-03-19,59.4,2,1971-03-17,2025-02-01,San Francisco,37.79789213319373,-122.40149375803907,16.36734421293793,Steel,FBE,SAW,378.6178206778326,Y,1.0,2.0,CP478,Adequate,2024-10-29,-779.2374106472489,2024-06-23,4.0,1,8.0
A100038,Transformer,Electric,N/A,1983-06-17,42.2,3,1990-10-24,2024-11-11,San Francisco,37.84525778215953,-122.47253329552899,,Steel,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100039,Test Station,Gas,Transmission,2015-11-28,9.7,4,2020-05-11,2024-09-03,Sierra,38.933738661866045,-120.52060218662636,39.98633576041155,PE,None/Unknown,ERW,265.83275955433385,N,1.0,4.0,CP911,Adequate,2024-12-11,-877.0636388603688,2020-09-02,5.0,0,7.0
A100040,Regulator Station,Gas,Transmission,1989-06-30,36.1,4,1991-08-13,2024-07-24,North Bay,38.29092751171698,-122.4536374489143,19.396688417826226,Steel,Tape Wrap,N/A,263.251770934291,Y,3.0,5.0,CP563,Adequate,2024-08-12,-747.4192104538517,2021-04-13,3.0,0,10.0
A100041,Transformer,Electric,N/A,2018-08-29,7.0,2,2021-09-19,2024-09-02,Sierra,39.10380574444623,-120.50949965966365,,Wood,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100042,Anode Bed,Gas,Distribution,1976-07-08,49.1,4,1983-01-17,2023-06-10,Central Coast,36.72196679324948,-122.06881078045814,14.063291906723084,Steel,FBE,Seamless,121.88382789000772,N,3.0,1.0,CP680,Underprotected,2024-10-14,-867.6445475183892,2020-02-28,1.0,0,5.0
A100043,Transformer,Electric,N/A,2002-07-28,23.0,1,2006-09-20,2025-02-25,Sierra,38.74547081057984,-120.44409722825318,,Aluminum,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100044,Valve Station,Gas,Transmission,1996-09-05,28.9,5,2000-11-23,2023-11-20,San Francisco,37.70099037802206,-122.40825259827352,23.747851373210775,Steel,Coal Tar,SAW,285.64012352178753,N,1.0,5.0,CP573,Adequate,2024-07-28,-937.8487721683513,2019-09-27,3.0,0,9.0
A100045,Underground Cable,Electric,N/A,1995-06-20,30.1,3,2003-01-30,2024-11-26,North Bay,38.362841052063715,-122.67211957973004,,Aluminum,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100046,Launcher/Receiver,Gas,Transmission,2000-03-24,25.4,1,2005-10-22,2024-11-27,South Bay,37.41506418011714,-121.90715121747054,19.145928652208642,PE,Tape Wrap,ERW,277.24199962662414,N,2.0,2.0,CP457,Unknown,2025-02-17,-850.6246955897684,2023-02-23,1.0,0,6.0
A100047,Valve Station,Gas,Distribution,1986-01-23,39.6,4,1992-09-08,2023-12-26,San Francisco,37.67700007848713,-122.51968554659267,23.48766205120687,Steel,FBE,SAW,106.61385141076585,N,2.0,4.0,CP770,Adequate,2024-12-27,-836.0157815552595,2023-06-04,0.0,0,8.0
A100048,Substation Equipment,Electric,N/A,1967-03-15,58.4,4,1968-08-29,2025-03-17,South Bay,37.3809541067041,-121.76133842837848,,N/A,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100049,Regulator Station,Gas,Transmission,1986-06-03,39.2,1,1991-04-09,2025-07-09,Central Coast,36.375841120219754,-121.9460457988404,21.276139068939184,Steel,Asphalt Enamel,Seamless,257.36601280861214,Y,1.0,4.0,CP843,Adequate,2025-01-09,-922.3563069911802,2023-12-06,1.0,0,8.0
A100050,Valve Station,Gas,Distribution,1977-09-17,47.9,1,1981-07-21,2023-08-01,San Francisco,37.87027436042997,-122.37620183066522,15.160207770759087,PE,FBE,SAW,174.16559106341649,N,2.0,4.0,CP531,Overprotected,2025-02-17,-756.2804940655504,2024-05-08,1.0,1,9.0
A100051,CP Rectifier,Gas,Distribution,1962-10-17,62.8,2,1966-10-24,2025-02-14,Sierra,39.067790804141964,-120.36870752592516,17.155234348903374,Steel,FBE,ERW,122.12972070449426,N,1.0,4.0,CP943,Adequate,2024-12-17,-845.1400469787699,2024-04-01,0.0,0,8.0
A100052,Pole,Electric,N/A,2005-09-17,19.9,2,2008-11-21,2024-06-03,East Bay,37.610067817166424,-122.27691209934767,,Composite,N/A,N/A,,N/A,,1.0,,N/A,,,,,0,
A100053,Gas Transmission Pipeline,Gas,Transmission,2001-06-12,24.2,4,2007-02-13,2024-02-08,Sierra,38.90307431155284,-120.46310345496786,27.132153719443682,Cast Iron,Asphalt Enamel,N/A,220.73967310317076,N,3.0,2.0,CP836,Adequate,2025-02-11,-860.0086391679785,2020-12-11,6.0,0,5.0
A100054,Service Line/Riser,Gas,Distribution,1996-09-01,28.9,2,2001-10-14,2025-06-10,East Bay,37.850737941220444,-121.97361269543104,5.364377047484705,Steel,Asphalt Enamel,ERW,90.65837206614054,N,4.0,5.0,CP321,Overprotected,2024-07-20,-963.7539601338173,2022-12-24,1.0,0,9.0
A100055,CP Rectifier,Gas,Distribution,2008-04-21,17.3,1,2010-11-10,2025-01-13,South Bay,37.18206602185552,-121.88241492754659,15.781320076657485,Steel,N/A,N/A,84.42060204675747,Y,1.0,3.0,CP264,Overprotected,2024-07-18,-886.0572466484427,2022-04-22,0.0,0,7.0
A100056,CP Rectifier,Gas,Transmission,1971-03-17,54.4,2,1979-04-02,2023-10-11,South Bay,37.26612302883529,-121.82386249508664,31.592397398381895,Steel,FBE,N/A,324.1799322299786,N,2.0,1.0,CP919,Adequate,2024-12-28,-804.6832218340656,2021-11-18,0.0,0,5.0
A100057,Substation Equipment,Electric,N/A,1959-03-21,66.4,4,1959-12-17,2023-09-03,San Francisco,37.704985703912755,-122.32825919296255,,Steel,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100058,Substation Equipment,Electric,N/A,1963-06-15,62.2,1,1967-12-04,2024-07-22,North Bay,38.245350365808896,-122.56162675656606,,Wood,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100059,Test Station,Gas,Distribution,2014-07-26,11.0,5,2019-12-22,2025-04-20,San Francisco,37.59424568935779,-122.34145762517245,9.609826685443064,Steel,FBE,Seamless,60.0,N,2.0,2.0,CP506,Adequate,2025-03-24,-871.623659335351,2024-03-29,4.0,1,5.0
A100060,Pipeline Casing,Gas,Transmission,1987-01-14,38.6,4,1995-03-11,2024-02-01,Sierra,39.03594947207819,-120.6153144922504,18.279370462075697,Steel,Coal Tar,Seamless,272.2089163144491,N,3.0,3.0,CP981,Adequate,2025-05-05,-950.4539467847193,2021-06-04,2.0,0,7.0
A100061,Switchgear,Electric,N/A,2019-03-22,6.4,3,2026-11-30,2025-02-03,San Francisco,38.01703975756761,-122.70814704170121,,Composite,N/A,N/A,,N/A,,2.0,,N/A,,,,,1,
A100062,Underground Cable,Electric,N/A,1983-10-18,41.8,2,1989-08-02,2024-02-05,East Bay,37.84713559045762,-122.383514010908,,Steel,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100063,Anode Bed,Gas,Distribution,1985-01-27,40.5,1,1988-02-27,2024-03-03,South Bay,37.43716497152236,-122.07101563044789,4.322238569505384,Steel,Asphalt Enamel,SAW,117.18580025385252,N,4.0,3.0,CP107,Adequate,2025-06-18,-927.1045891499527,2020-12-11,2.0,0,6.0
A100064,Switchgear,Electric,N/A,1956-01-20,69.6,3,1961-11-08,2025-01-04,Sierra,39.11678763597187,-120.56542790327197,,Composite,N/A,N/A,,N/A,,1.0,,N/A,,,,,0,
A100065,Anode Bed,Gas,Transmission,1976-04-03,49.4,3,1979-06-29,2025-03-07,San Francisco,37.68432987845112,-122.62180285498006,21.435615808625386,Steel,Coal Tar,N/A,205.72625901955092,N,2.0,3.0,CP362,Adequate,2025-02-01,-872.8107296077882,2020-06-07,5.0,0,7.0
A100066,Transformer,Electric,N/A,2006-04-02,19.4,2,2011-10-23,2024-07-15,Central Coast,36.74754252959462,-121.79218513874075,,Wood,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100067,Underground Cable,Electric,N/A,1971-12-06,53.7,4,1978-03-08,2024-03-23,South Bay,37.33857284412063,-121.87540220907519,,Copper,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100068,Pipeline Casing,Gas,Distribution,1967-10-03,57.9,3,1973-06-13,2025-01-07,North Bay,38.102572057043396,-122.8327724789883,12.615250922430855,Steel,N/A,ERW,73.27778387022353,N,1.0,3.0,CP425,Adequate,2024-10-03,-1023.7161538249343,2019-10-16,2.0,1,7.0
A100069,Valve Station,Gas,Distribution,2017-06-09,8.2,5,2022-11-10,2024-08-10,South Bay,37.33771203364999,-121.89811993575339,4.833547065122021,PE,Asphalt Enamel,SAW,96.44773704863724,Y,1.0,1.0,CP505,Adequate,2024-10-16,-821.0164967744845,2020-11-16,3.0,1,7.0
A100070,Overhead Line,Electric,N/A,1957-12-01,67.7,1,1964-05-24,2025-02-21,South Bay,37.32926804361948,-121.98284040641022,,Copper,N/A,N/A,,N/A,,3.0,,N/A,,,,,1,
A100071,Service Line/Riser,Gas,Distribution,2002-09-15,22.9,1,2003-04-14,2024-04-03,North Bay,38.19780588785852,-122.81933243175294,8.670465705767517,Steel,Tape Wrap,ERW,60.37073303817561,N,2.0,4.0,CP741,Overprotected,2025-03-04,-952.3849496036606,2020-09-19,0.0,0,8.0
A100072,Switchgear,Electric,N/A,1990-03-03,35.4,2,1995-10-10,2024-06-23,Central Coast,36.56915786654575,-121.85930828963986,,Composite,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100073,Pole,Electric,N/A,2020-04-02,5.4,3,2022-12-15,2023-10-14,East Bay,37.81561655045681,-122.24373348620958,,Copper,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100074,Valve Station,Gas,Transmission,2015-05-13,10.3,5,2023-04-24,2025-02-04,East Bay,37.724583702596654,-122.1244802087911,29.927566515622996,PE,Tape Wrap,N/A,245.6651390103402,N,2.0,2.0,CP132,Unknown,2025-06-14,-915.350487209288,2024-04-22,1.0,0,5.0
A100075,Transformer,Electric,N/A,1976-05-16,49.2,2,1983-12-14,2024-11-27,Central Coast,36.740085894072266,-121.9371981784899,,Wood,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100076,Switchgear,Electric,N/A,1996-01-09,29.6,2,2002-01-10,2023-12-01,East Bay,37.91275219892709,-122.29232173619371,,Steel,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100077,Anode Bed,Gas,Transmission,2003-02-13,22.5,4,2005-06-03,2024-07-02,North Bay,38.36305554383287,-122.61762271078675,19.443675400069218,Steel,Asphalt Enamel,ERW,326.21744882522444,Y,1.0,4.0,CP901,Adequate,2025-04-15,-788.3663333034879,2023-11-01,7.0,0,9.0
A100078,Overhead Line,Electric,N/A,1975-06-21,50.1,4,1976-07-11,2024-02-27,South Bay,37.263446621192166,-121.84587152925582,,N/A,N/A,N/A,,N/A,,4.0,,N/A,,,,,0,
A100079,Overhead Line,Electric,N/A,1995-10-19,29.8,2,2002-10-27,2024-09-21,South Bay,37.44528126048223,-121.87254119772841,,Steel,N/A,N/A,,N/A,,1.0,,N/A,,,,,0,
A100080,Underground Cable,Electric,N/A,2016-10-07,8.8,4,2020-08-27,2025-06-13,South Bay,37.0386213663107,-121.93289653792763,,Wood,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100081,CP Rectifier,Gas,Transmission,1958-06-30,67.1,3,1961-06-04,2024-11-17,San Francisco,37.78825654573778,-122.33490128848355,28.980710025201645,Steel,Asphalt Enamel,SAW,234.95960368675313,N,1.0,4.0,CP605,Underprotected,2024-08-24,-918.0929025217721,2023-11-17,2.0,0,10.0
A100082,Transformer,Electric,N/A,1967-05-28,58.2,3,1975-07-06,2025-01-02,Central Coast,36.708613156831184,-121.8593367799943,,Wood,N/A,N/A,,N/A,,4.0,,N/A,,,,,0,
A100083,Anode Bed,Gas,Distribution,2017-02-23,8.5,3,2020-08-11,2024-02-11,San Francisco,37.88778373143313,-122.48463535322955,3.7649089803363793,Steel,FBE,SAW,103.9911141662475,N,1.0,5.0,CP340,Adequate,2025-01-03,-957.9806224116494,2022-03-12,1.0,0,7.0
A100084,Substation Equipment,Electric,N/A,1959-12-06,65.7,4,1964-10-05,2024-06-16,North Bay,38.18257416310969,-122.62547360580425,,Wood,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100085,Overhead Line,Electric,N/A,2013-08-13,12.0,5,2019-04-24,2024-02-07,East Bay,37.70337950211958,-122.0906391024963,,Composite,N/A,N/A,,N/A,,1.0,,N/A,,,,,0,
A100086,Switchgear,Electric,N/A,1985-09-25,39.9,5,1988-11-09,2024-03-29,North Bay,38.274550779227376,-122.64039753307911,,Steel,N/A,N/A,,N/A,,3.0,,N/A,,,,,1,
A100087,Overhead Line,Electric,N/A,1979-03-08,46.4,1,1980-12-16,2024-12-26,Sierra,39.07336474723051,-120.63221339657663,,Steel,N/A,N/A,,N/A,,2.0,,N/A,,,,,0,
A100088,Gas Transmission Pipeline,Gas,Distribution,1957-04-27,68.3,4,1961-08-16,2024-09-27,East Bay,37.83031309776622,-122.10902913326959,20.143408336625832,Steel,Tape Wrap,N/A,66.29530102919969,N,1.0,1.0,CP282,Adequate,2025-03-14,-971.405682025006,2020-12-27,4.0,0,5.0
A100089,CP Rectifier,Gas,Distribution,1997-02-26,28.5,3,1999-08-21,2024-02-20,South Bay,37.230970411713464,-121.92389432240492,13.451293309810191,Steel,N/A,Seamless,110.52661445463603,N,3.0,3.0,CP617,Underprotected,2025-04-07,-893.4364369506559,2024-03-03,2.0,0,8.0
A100090,Substation Equipment,Electric,N/A,2001-09-28,23.9,5,2007-10-15,2025-02-18,Central Coast,36.61391671630049,-121.75475420069455,,Copper,N/A,N/A,,N/A,,1.0,,N/A,,,,,0,
A100091,Transformer,Electric,N/A,1966-11-14,58.7,5,1973-03-07,2023-06-06,North Bay,38.42610506475603,-122.68128194475933,,Aluminum,N/A,N/A,,N/A,,3.0,,N/A,,,,,0,
A100092,Pole,Electric,N/A,1965-02-15,60.5,4,1972-07-19,2023-06-18,South Bay,37.242048663696536,-121.74071824127626,,Wood,N/A,N/A,,N/A,,4.0,,N/A,,,,,0,
A100093,Substation Equipment,Electric,N/A,2011-09-21,13.9,1,2015-07-01,2025-03-08,Sierra,38.90646961430147,-120.5327618937371,,Steel,N/A,N/A,,N/A,,4.0,,N/A,,,,,0,
A100094,Substation Equipment,Electric,N/A,1960-10-15,64.8,3,1963-02-27,2024-06-12,Central Coast,36.570414110747244,-121.90533553871278,,Aluminum,N/A,N/A,,N/A,,5.0,,N/A,,,,,0,
A100095,Pipeline Casing,Gas,Transmission,2001-01-03,24.6,2,2003-08-17,2024-11-14,Sierra,38.836913194802754,-120.29398829505466,22.23351793957727,Steel,Coal Tar,SAW,198.9227053926922,N,3.0,5.0,CP415,Adequate,2024-07-24,-956.5201271080343,2020-11-06,3.0,0,8.0
A100096,CP Rectifier,Gas,Transmission,1982-10-15,42.8,2,1983-07-02,2024-11-14,South Bay,37.175417974403146,-122.01618966394523,20.893952209093978,Steel,N/A,Seamless,247.6641479902229,N,1.0,4.0,CP494,Underprotected,2025-03-07,-914.649839897525,2019-10-13,0.0,0,9.0
A100097,CP Rectifier,Gas,Distribution,1972-04-20,53.3,4,1980-03-23,2023-07-28,North Bay,38.23627427619131,-122.64038969228507,8.12956605139524,Steel,Tape Wrap,N/A,63.865384879981875,Y,1.0,3.0,CP290,Adequate,2025-04-14,-913.036840219512,2023-08-09,3.0,1,9.0
A100098,Regulator Station,Gas,Transmission,2018-12-12,6.7,2,2024-06-12,2023-06-27,Central Coast,36.49946119931336,-121.78699510598142,28.495764664059006,PE,N/A,N/A,154.31311950157604,N,2.0,1.0,CP165,Overprotected,2025-07-14,-859.8111327441527,2020-09-24,3.0,0,3.0
A100099,Switchgear,Electric,N/A,1979-03-19,46.4,2,1980-02-13,2023-12-21,Central Coast,36.61027688342178,-121.74747541358322,,Wood,N/A,N/A,,N/A,,4.0,,N/A,,,,,1,
A100100,Regulator Station,Gas,Transmission,1967-06-27,58.1,3,1973-05-31,2024-07-18,Central Coast,36.53167268032751,-121.88242736629127,29.77020510165943,Steel,FBE,N/A,230.99583847887124,N,1.0,5.0,CP662,Adequate,2025-07-01,-919.6696273054064,2019-12-07,1.0,0,8.0
A100101,CP Rectifier,Gas,Distribution,1959-02-02,66.5,4,1962-07-24,2023-11-30,North Bay,38.2387538758218,-122.70441681168829,18.74680532774216,Steel,Tape Wrap,N/A,92.18002033547025,N,1.0,3.0,CP902,Adequate,2024-08-18,-913.647342503185,2023-04-16,2.0,0,7.0
A100102,Anode Bed,Gas,Distribution,2020-05-11,5.3,3,2023-10-06,2023-10-11,San Francisco,37.46543947378066,-122.18540735629658,8.160775647207636,PE,FBE,SAW,60.0,N,3.0,3.0,CP124,Unknown,2025-05-23,-887.6043362574047,2021-05-07,5.0,0,5.0
A100103,Regulator Station,Gas,Distribution,1998-07-23,27.1,1,2006-03-17,2025-02-01,Sierra,38.93639929681274,-120.48269085146433,13.854854778910006,Steel,N/A,ERW,82.53516465996904,N,1.0,1.0,CP198,Unknown,2024-09-10,-932.2875758341977,2019-11-16,6.0,0,4.0
