ScheduleID,CrewID,Date,AssignedWorkOrderID,HoursAssigned
SC105_2025-08-13,C105,2025-08-13,WO200050,6
SC106_2025-07-24,C106,2025-07-24,WO200162,4
SC106_2025-07-25,C106,2025-07-25,WO200022,8
SC106_2025-07-26,C106,2025-07-26,,0
SC106_2025-07-27,C106,2025-07-27,,2
SC106_2025-07-28,C106,2025-07-28,WO200128,8
SC106_2025-07-29,C106,2025-07-29,,8
SC106_2025-07-30,C106,2025-07-30,,8
SC106_2025-07-31,C106,2025-07-31,WO200010,8
SC106_2025-08-01,C106,2025-08-01,WO200066,8
SC106_2025-08-02,C106,2025-08-02,,0
SC106_2025-08-03,C106,2025-08-03,,4
SC106_2025-08-04,C106,2025-08-04,WO200038,4
SC106_2025-08-05,C106,2025-08-05,WO200104,4
SC106_2025-08-06,C106,2025-08-06,WO200181,8
SC106_2025-08-07,C106,2025-08-07,,6
SC106_2025-08-08,C106,2025-08-08,,4
SC106_2025-08-09,C106,2025-08-09,,4
SC106_2025-08-10,C106,2025-08-10,WO200201,2
SC106_2025-08-11,C106,2025-08-11,WO200172,4
SC106_2025-08-12,C106,2025-08-12,WO200098,4
SC106_2025-08-13,C106,2025-08-13,WO200169,8
SC107_2025-07-24,C107,2025-07-24,WO200021,8
SC107_2025-07-25,C107,2025-07-25,WO200017,4
SC107_2025-07-26,C107,2025-07-26,WO200082,2
SC107_2025-07-27,C107,2025-07-27,,0
SC107_2025-07-28,C107,2025-07-28,WO200080,6
SC107_2025-07-29,C107,2025-07-29,WO200049,4
SC107_2025-07-30,C107,2025-07-30,WO200210,8
SC107_2025-07-31,C107,2025-07-31,WO200102,4
SC107_2025-08-01,C107,2025-08-01,,8
SC107_2025-08-02,C107,2025-08-02,WO200154,2
SC107_2025-08-03,C107,2025-08-03,WO200140,2
SC107_2025-08-04,C107,2025-08-04,WO200078,8
SC107_2025-08-05,C107,2025-08-05,,6
SC107_2025-08-06,C107,2025-08-06,WO200082,4
SC107_2025-08-07,C107,2025-08-07,,6
SC107_2025-08-08,C107,2025-08-08,WO200165,8
SC107_2025-08-09,C107,2025-08-09,WO200172,2
SC107_2025-08-10,C107,2025-08-10,WO200187,4
SC107_2025-08-11,C107,2025-08-11,WO200181,4
SC107_2025-08-12,C107,2025-08-12,WO200157,4
SC107_2025-08-13,C107,2025-08-13,WO200101,4
SC108_2025-07-24,C108,2025-07-24,WO200093,6
SC108_2025-07-25,C108,2025-07-25,WO200201,6
SC108_2025-07-26,C108,2025-07-26,,4
SC108_2025-07-27,C108,2025-07-27,WO200030,2
SC108_2025-07-28,C108,2025-07-28,,4
SC108_2025-07-29,C108,2025-07-29,,6
SC108_2025-07-30,C108,2025-07-30,WO200157,6
SC108_2025-07-31,C108,2025-07-31,WO200106,6
SC108_2025-08-01,C108,2025-08-01,WO200041,6
SC108_2025-08-02,C108,2025-08-02,WO200168,2
SC108_2025-08-03,C108,2025-08-03,WO200171,4
SC108_2025-08-04,C108,2025-08-04,WO200218,4
SC108_2025-08-05,C108,2025-08-05,WO200091,4
SC108_2025-08-06,C108,2025-08-06,WO200168,6
SC108_2025-08-07,C108,2025-08-07,WO200030,4
SC108_2025-08-08,C108,2025-08-08,,6
SC108_2025-08-09,C108,2025-08-09,,0
SC108_2025-08-10,C108,2025-08-10,,0
SC108_2025-08-11,C108,2025-08-11,WO200019,6
SC108_2025-08-12,C108,2025-08-12,WO200142,8
SC108_2025-08-13,C108,2025-08-13,,8
SC109_2025-07-24,C109,2025-07-24,WO200096,4
SC109_2025-07-25,C109,2025-07-25,WO200174,6
SC109_2025-07-26,C109,2025-07-26,,0
SC109_2025-07-27,C109,2025-07-27,,2
SC109_2025-07-28,C109,2025-07-28,,8
SC109_2025-07-29,C109,2025-07-29,,8
SC109_2025-07-30,C109,2025-07-30,,8
SC109_2025-07-31,C109,2025-07-31,WO200009,8
SC109_2025-08-01,C109,2025-08-01,WO200143,8
SC109_2025-08-02,C109,2025-08-02,,0
SC109_2025-08-03,C109,2025-08-03,,0
SC109_2025-08-04,C109,2025-08-04,WO200005,8
SC109_2025-08-05,C109,2025-08-05,,8
SC109_2025-08-06,C109,2025-08-06,,8
SC109_2025-08-07,C109,2025-08-07,WO200192,6
SC109_2025-08-08,C109,2025-08-08,WO200156,8
SC109_2025-08-09,C109,2025-08-09,WO200120,2
SC109_2025-08-10,C109,2025-08-10,WO200045,4
SC109_2025-08-11,C109,2025-08-11,,4
SC109_2025-08-12,C109,2025-08-12,WO200177,4
SC109_2025-08-13,C109,2025-08-13,,8
SC110_2025-07-24,C110,2025-07-24,WO200151,4
SC110_2025-07-25,C110,2025-07-25,,6
SC110_2025-07-26,C110,2025-07-26,WO200182,2
SC110_2025-07-27,C110,2025-07-27,WO200001,4
SC110_2025-07-28,C110,2025-07-28,WO200001,4
SC110_2025-07-29,C110,2025-07-29,WO200208,8
SC110_2025-07-30,C110,2025-07-30,WO200051,6
SC110_2025-07-31,C110,2025-07-31,,6
SC110_2025-08-01,C110,2025-08-01,,8
SC110_2025-08-02,C110,2025-08-02,,0
SC110_2025-08-03,C110,2025-08-03,WO200143,2
SC110_2025-08-04,C110,2025-08-04,,6
SC110_2025-08-05,C110,2025-08-05,,8
SC110_2025-08-06,C110,2025-08-06,WO200208,6
SC110_2025-08-07,C110,2025-08-07,,8
SC110_2025-08-08,C110,2025-08-08,,4
SC110_2025-08-09,C110,2025-08-09,WO200103,2
SC110_2025-08-10,C110,2025-08-10,WO200025,4
SC110_2025-08-11,C110,2025-08-11,WO200058,6
SC110_2025-08-12,C110,2025-08-12,,8
SC110_2025-08-13,C110,2025-08-13,,8
SC111_2025-07-24,C111,2025-07-24,WO200195,6
SC111_2025-07-25,C111,2025-07-25,WO200071,4
SC111_2025-07-26,C111,2025-07-26,WO200032,2
SC111_2025-07-27,C111,2025-07-27,WO200128,4
SC111_2025-07-28,C111,2025-07-28,,6
SC111_2025-07-29,C111,2025-07-29,WO200087,4
SC111_2025-07-30,C111,2025-07-30,WO200197,4
SC111_2025-07-31,C111,2025-07-31,WO200089,8
SC111_2025-08-01,C111,2025-08-01,,6
SC111_2025-08-02,C111,2025-08-02,WO200029,4
SC111_2025-08-03,C111,2025-08-03,,0
SC111_2025-08-04,C111,2025-08-04,,4
SC111_2025-08-05,C111,2025-08-05,WO200075,8
SC111_2025-08-06,C111,2025-08-06,,4
SC111_2025-08-07,C111,2025-08-07,,8
SC111_2025-08-08,C111,2025-08-08,,4
SC111_2025-08-09,C111,2025-08-09,WO200073,4
SC111_2025-08-10,C111,2025-08-10,WO200058,2
SC111_2025-08-11,C111,2025-08-11,,6
SC111_2025-08-12,C111,2025-08-12,WO200154,4
SC111_2025-08-13,C111,2025-08-13,WO200181,8
SC112_2025-07-24,C112,2025-07-24,,8
SC112_2025-07-25,C112,2025-07-25,WO200163,4
SC112_2025-07-26,C112,2025-07-26,,0
SC112_2025-07-27,C112,2025-07-27,,2
SC112_2025-07-28,C112,2025-07-28,WO200103,6
SC112_2025-07-29,C112,2025-07-29,,6
SC112_2025-07-30,C112,2025-07-30,,8
SC112_2025-07-31,C112,2025-07-31,,8
SC112_2025-08-01,C112,2025-08-01,WO200150,8
SC112_2025-08-02,C112,2025-08-02,WO200125,4
SC112_2025-08-03,C112,2025-08-03,WO200218,4
SC112_2025-08-04,C112,2025-08-04,WO200187,4
SC112_2025-08-05,C112,2025-08-05,WO200210,4
SC112_2025-08-06,C112,2025-08-06,,8
SC112_2025-08-07,C112,2025-08-07,WO200188,8
SC112_2025-08-08,C112,2025-08-08,WO200154,8
SC112_2025-08-09,C112,2025-08-09,WO200212,4
SC112_2025-08-10,C112,2025-08-10,WO200203,2
SC112_2025-08-11,C112,2025-08-11,WO200040,4
SC112_2025-08-12,C112,2025-08-12,WO200103,6
SC112_2025-08-13,C112,2025-08-13,,4
SC113_2025-07-24,C113,2025-07-24,WO200117,4
SC113_2025-07-25,C113,2025-07-25,WO200198,8
SC113_2025-07-26,C113,2025-07-26,WO200141,2
SC113_2025-07-27,C113,2025-07-27,,0
SC113_2025-07-28,C113,2025-07-28,WO200111,4
SC113_2025-07-29,C113,2025-07-29,WO200063,6
SC113_2025-07-30,C113,2025-07-30,WO200020,8
SC113_2025-07-31,C113,2025-07-31,WO200007,6
SC113_2025-08-01,C113,2025-08-01,WO200085,8
SC113_2025-08-02,C113,2025-08-02,WO200145,4
SC113_2025-08-03,C113,2025-08-03,,4
SC113_2025-08-04,C113,2025-08-04,WO200089,8
SC113_2025-08-05,C113,2025-08-05,,4
SC113_2025-08-06,C113,2025-08-06,WO200220,4
SC113_2025-08-07,C113,2025-08-07,,6
SC113_2025-08-08,C113,2025-08-08,,6
SC113_2025-08-09,C113,2025-08-09,,0
SC113_2025-08-10,C113,2025-08-10,WO200004,4
SC113_2025-08-11,C113,2025-08-11,WO200211,6
SC113_2025-08-12,C113,2025-08-12,WO200068,4
SC113_2025-08-13,C113,2025-08-13,WO200080,6
SC114_2025-07-24,C114,2025-07-24,,4
SC114_2025-07-25,C114,2025-07-25,,6
SC114_2025-07-26,C114,2025-07-26,,0
SC114_2025-07-27,C114,2025-07-27,WO200198,2
SC114_2025-07-28,C114,2025-07-28,WO200113,8
SC114_2025-07-29,C114,2025-07-29,WO200164,4
SC114_2025-07-30,C114,2025-07-30,WO200036,4
SC114_2025-07-31,C114,2025-07-31,WO200140,6
SC114_2025-08-01,C114,2025-08-01,WO200174,8
SC114_2025-08-02,C114,2025-08-02,WO200075,4
SC114_2025-08-03,C114,2025-08-03,,0
SC114_2025-08-04,C114,2025-08-04,WO200184,8
SC114_2025-08-05,C114,2025-08-05,WO200125,6
SC114_2025-08-06,C114,2025-08-06,WO200134,8
SC114_2025-08-07,C114,2025-08-07,,6
SC114_2025-08-08,C114,2025-08-08,WO200216,8
SC114_2025-08-09,C114,2025-08-09,,4
SC114_2025-08-10,C114,2025-08-10,,4
SC114_2025-08-11,C114,2025-08-11,WO200004,8
SC114_2025-08-12,C114,2025-08-12,,4
SC114_2025-08-13,C114,2025-08-13,,4
SC115_2025-07-24,C115,2025-07-24,WO200122,4
SC115_2025-07-25,C115,2025-07-25,,4
SC115_2025-07-26,C115,2025-07-26,,4
SC115_2025-07-27,C115,2025-07-27,WO200057,4
SC115_2025-07-28,C115,2025-07-28,,8
SC115_2025-07-29,C115,2025-07-29,,8
SC115_2025-07-30,C115,2025-07-30,WO200001,6
SC115_2025-07-31,C115,2025-07-31,WO200091,6
SC115_2025-08-01,C115,2025-08-01,WO200071,6
SC115_2025-08-02,C115,2025-08-02,,2
SC115_2025-08-03,C115,2025-08-03,WO200191,2
SC115_2025-08-04,C115,2025-08-04,WO200033,4
SC115_2025-08-05,C115,2025-08-05,,8
SC115_2025-08-06,C115,2025-08-06,WO200094,8
SC115_2025-08-07,C115,2025-08-07,,4
SC115_2025-08-08,C115,2025-08-08,WO200185,6
SC115_2025-08-09,C115,2025-08-09,WO200138,4
SC115_2025-08-10,C115,2025-08-10,,2
SC115_2025-08-11,C115,2025-08-11,WO200202,8
SC115_2025-08-12,C115,2025-08-12,WO200168,8
SC115_2025-08-13,C115,2025-08-13,WO200160,4
SC116_2025-07-24,C116,2025-07-24,WO200003,6
SC116_2025-07-25,C116,2025-07-25,,4
SC116_2025-07-26,C116,2025-07-26,WO200186,2
SC116_2025-07-27,C116,2025-07-27,WO200018,4
SC116_2025-07-28,C116,2025-07-28,,4
SC116_2025-07-29,C116,2025-07-29,WO200166,8
SC116_2025-07-30,C116,2025-07-30,WO200057,6
SC116_2025-07-31,C116,2025-07-31,WO200212,4
SC116_2025-08-01,C116,2025-08-01,,6
SC116_2025-08-02,C116,2025-08-02,,0
SC116_2025-08-03,C116,2025-08-03,WO200125,2
SC116_2025-08-04,C116,2025-08-04,,4
SC116_2025-08-05,C116,2025-08-05,WO200210,4
SC116_2025-08-06,C116,2025-08-06,WO200190,4
SC116_2025-08-07,C116,2025-08-07,,8
SC116_2025-08-08,C116,2025-08-08,WO200024,8
SC116_2025-08-09,C116,2025-08-09,,0
SC116_2025-08-10,C116,2025-08-10,WO200213,4
SC116_2025-08-11,C116,2025-08-11,WO200056,6
SC116_2025-08-12,C116,2025-08-12,,8
SC116_2025-08-13,C116,2025-08-13,,4
SC117_2025-07-24,C117,2025-07-24,,8
SC117_2025-07-25,C117,2025-07-25,,4
SC117_2025-07-26,C117,2025-07-26,,2
SC117_2025-07-27,C117,2025-07-27,WO200191,2
SC117_2025-07-28,C117,2025-07-28,,6
SC117_2025-07-29,C117,2025-07-29,,6
SC117_2025-07-30,C117,2025-07-30,WO200052,4
SC117_2025-07-31,C117,2025-07-31,WO200142,6
SC117_2025-08-01,C117,2025-08-01,WO200029,8
SC117_2025-08-02,C117,2025-08-02,,0
SC117_2025-08-03,C117,2025-08-03,,0
SC117_2025-08-04,C117,2025-08-04,,8
SC117_2025-08-05,C117,2025-08-05,WO200127,8
SC117_2025-08-06,C117,2025-08-06,WO200169,8
SC117_2025-08-07,C117,2025-08-07,WO200024,8
SC117_2025-08-08,C117,2025-08-08,WO200176,6
SC117_2025-08-09,C117,2025-08-09,,0
SC117_2025-08-10,C117,2025-08-10,WO200023,4
SC117_2025-08-11,C117,2025-08-11,WO200093,6
SC117_2025-08-12,C117,2025-08-12,,4
SC117_2025-08-13,C117,2025-08-13,WO200011,4
SC118_2025-07-24,C118,2025-07-24,WO200017,4
SC118_2025-07-25,C118,2025-07-25,,6
SC118_2025-07-26,C118,2025-07-26,,0
SC118_2025-07-27,C118,2025-07-27,,4
SC118_2025-07-28,C118,2025-07-28,WO200043,8
SC118_2025-07-29,C118,2025-07-29,WO200150,8
SC118_2025-07-30,C118,2025-07-30,WO200030,8
SC118_2025-07-31,C118,2025-07-31,,4
SC118_2025-08-01,C118,2025-08-01,WO200007,8
SC118_2025-08-02,C118,2025-08-02,,2
SC118_2025-08-03,C118,2025-08-03,WO200069,2
SC118_2025-08-04,C118,2025-08-04,WO200206,8
SC118_2025-08-05,C118,2025-08-05,,8
SC118_2025-08-06,C118,2025-08-06,,4
SC118_2025-08-07,C118,2025-08-07,WO200117,8
SC118_2025-08-08,C118,2025-08-08,,6
SC118_2025-08-09,C118,2025-08-09,WO200011,2
SC118_2025-08-10,C118,2025-08-10,,0
SC118_2025-08-11,C118,2025-08-11,WO200208,8
SC118_2025-08-12,C118,2025-08-12,WO200076,4
SC118_2025-08-13,C118,2025-08-13,WO200107,8
SC119_2025-07-24,C119,2025-07-24,WO200182,4
SC119_2025-07-25,C119,2025-07-25,WO200196,4
SC119_2025-07-26,C119,2025-07-26,,4
SC119_2025-07-27,C119,2025-07-27,WO200190,2
SC119_2025-07-28,C119,2025-07-28,WO200165,8
SC119_2025-07-29,C119,2025-07-29,,4
SC119_2025-07-30,C119,2025-07-30,WO200047,4
SC119_2025-07-31,C119,2025-07-31,,8
SC119_2025-08-01,C119,2025-08-01,WO200045,4
SC119_2025-08-02,C119,2025-08-02,,2
SC119_2025-08-03,C119,2025-08-03,,4
SC119_2025-08-04,C119,2025-08-04,WO200199,6
SC119_2025-08-05,C119,2025-08-05,WO200170,6
SC119_2025-08-06,C119,2025-08-06,,8
SC119_2025-08-07,C119,2025-08-07,WO200179,8
SC119_2025-08-08,C119,2025-08-08,WO200059,8
SC119_2025-08-09,C119,2025-08-09,WO200039,2
SC119_2025-08-10,C119,2025-08-10,WO200195,4
SC119_2025-08-11,C119,2025-08-11,WO200183,8
SC119_2025-08-12,C119,2025-08-12,WO200054,6
SC119_2025-08-13,C119,2025-08-13,WO200190,6
SC120_2025-07-24,C120,2025-07-24,WO200107,8
SC120_2025-07-25,C120,2025-07-25,WO200115,4
SC120_2025-07-26,C120,2025-07-26,,0
SC120_2025-07-27,C120,2025-07-27,WO200057,2
SC120_2025-07-28,C120,2025-07-28,,8
SC120_2025-07-29,C120,2025-07-29,,8
SC120_2025-07-30,C120,2025-07-30,WO200199,4
SC120_2025-07-31,C120,2025-07-31,WO200217,6
SC120_2025-08-01,C120,2025-08-01,,8
SC120_2025-08-02,C120,2025-08-02,,2
SC120_2025-08-03,C120,2025-08-03,,0
SC120_2025-08-04,C120,2025-08-04,WO200154,4
SC120_2025-08-05,C120,2025-08-05,WO200193,4
SC120_2025-08-06,C120,2025-08-06,,6
SC120_2025-08-07,C120,2025-08-07,WO200159,4
SC120_2025-08-08,C120,2025-08-08,,8
SC120_2025-08-09,C120,2025-08-09,WO200086,4
SC120_2025-08-10,C120,2025-08-10,,2
SC120_2025-08-11,C120,2025-08-11,,8
SC120_2025-08-12,C120,2025-08-12,WO200031,6
SC120_2025-08-13,C120,2025-08-13,WO200122,8
